,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
32,Cordae,Super,track,From a Birds Eye View,14,2022-01-14
33,Post Malone,Wasting Angels (with The Kid LAROI),track,Twelve Carat Toothache,14,2022-06-03
34,Stray Kids,"TASTE (Lee Know, Hyunjin, Felix)",track,MAXIDENT,8,2022-10-07
35,Beyoncé,MOVE (feat. Grace Jones & Tems),track,RENAISSANCE,16,2022-07-29
36,GRAHAM,Mad It's My Fault,track,Mad It's My Fault,1,2022-07-08
37,Chase Matthew,Can't Hide Love,track,Born for This,12,2022-02-11
38,Benson Boone,Work of Art,track,Walk Me Home...,8,2022-07-29
39,Dylan Schneider,Ain't Missin' You,track,Ain't Missin' You,1,2022-09-16
40,LE SSERAFIM,ANTIFRAGILE,track,ANTIFRAGILE,5,2022-10-17
41,Porter Robinson,Everything Goes On,track,Everything Goes On,1,2022-07-14
42,LE SSERAFIM,Good Parts (when the quality is bad but I am),track,ANTIFRAGILE,5,2022-10-17
43,Cults,Gilded Lily - Sped Up,track,Offering,13,2022-10-26
44,Punctual,Do It All Again,track,Do It All Again,1,2022-02-11
