,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
286,Royel Otis,Razor Teeth,track,Sofa Kings,7,2023-03-31
287,Metallica,If Darkness Had a Son,track,72 Seasons,12,2023-04-14
288,Disturbed,Bad Man - Kordhell Remix,track,Bad Man (Kordhell Remix),2,2023-02-24
289,American Authors,We Happy Don’t Worry,track,Best Night of My Life,10,2023-02-10
290,feeble little horse,Freak,track,Girl with Fish,11,2023-06-09
291,Joey Valence & Brae,TANAKA 2,track,PUNK TACTICS,14,2023-09-08
292,Depeche Mode,Ghosts Again,track,Memento Mori,12,2023-03-24
293,Dominic Fike,Dark,track,Sunburn,15,2023-07-07
294,Paramore,C’est Comme Ça,track,This Is Why,10,2023-02-10
295,Rawayana,Besos Ricos,track,¿Quién trae las cornetas?,22,2023-09-21
296,Jason Aldean,Get Away From You,track,Highway Desperado,14,2023-11-03
297,Old Dominion,I Should Have Married You,track,I Should Have Married You,1,2023-04-21
298,for KING & COUNTRY,What Are We Waiting For? (The Single),track,What Are We Waiting For? (The Single),1,2023-06-16
299,Måneskin,HONEY (ARE U COMING?),track,RUSH! (ARE U COMING?),22,2023-11-10
300,From Ashes to New,Heartache,track,Blackout,12,2023-07-28
301,花冷え。,お先に失礼します。,track,来世は偉人！,10,2023-07-26
302,Chris Tomlin,Holy Forever - Español,track,Holy Forever (Español),1,2023-09-15
303,Matthew West,My Story Your Glory,track,My Story Your Glory,22,2023-02-17
304,BABYMETAL,Monochrome,track,THE OTHER ONE,10,2023-03-24
305,Mitchell Tenpenny,We Got History - VAVO & DLAY Remix,track,We Got History (VAVO & DLAY Remix),1,2023-05-17
306,Survive Said The Prophet,Paradox,track,Paradox,1,2023-04-04
307,Thomas Rhett,Angels (Don’t Always Have Wings),track,20 Number Ones,21,2023-09-28
308,Mustard Service,(Your Cat) Don’t Stand a Chance,track,Variety Pack,13,2023-08-04
309,Pierce The Veil,Shared Trauma,track,The Jaws Of Life,12,2023-02-10
310,Linkin Park,Numb,track,Meteora 20th Anniversary Edition,89,2023-04-07
311,Jason Isbell and the 400 Unit,King of Oklahoma,track,Weathervanes,13,2023-06-09
312,Daisy Jones & The Six,Regret Me,track,AURORA,11,2023-03-02
313,Palaye Royale,Dead To Me,track,Dead To Me,1,2023-12-01
314,Lauren Daigle,To Know Me,track,Lauren Daigle,23,2023-09-08
315,blink-182,FELL IN LOVE,track,ONE MORE TIME...,17,2023-10-20
316,Måneskin,TRASTEVERE,track,RUSH! (ARE U COMING?),22,2023-11-10
317,Queens of the Stone Age,Paper Machete,track,In Times New Roman...,10,2023-06-16
318,Dirty Heads,Rescue Me,track,Midnight Control (Deluxe),23,2023-07-14
319,LiSA,REALiZE,track,REALiZE,1,2023-06-14
320,Midrift,dismal,track,dismal,1,2023-03-11
321,Hozier,All Things End,track,Eat Your Young,3,2023-03-17
322,Lauren Daigle,Waiting,track,Lauren Daigle,23,2023-09-08
