,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
413,Sam Barber,As Time Passes,track,As Time Passes,1,2022-12-15
414,Imagine Dragons,Wrecked,track,Mercury - Acts 1 & 2,32,2022-07-01
415,Zach Top,I Don't Mind,track,Zach Top,8,2022-05-13
416,Tate McRae,what would you do?,track,i used to think i could fly,13,2022-05-27
417,Lainey Wilson,Smell Like Smoke,track,Bell Bottom Country,16,2022-11-28
418,Taylor Swift,Maroon,track,Midnights (3am Edition),20,2022-10-22
419,David Guetta,Satisfaction,track,Satisfaction,1,2022-08-12
420,MOTO BANDIT,DAYLIGHT DOOM,track,DAYLIGHT DOOM,1,2022-02-15
421,Nelly,Grillz,track,Still Hot In Herre,17,2022-10-14
422,Tokyo Tea Room,If You Love Her,track,If You Love Her,1,2022-11-09
423,Stray Kids,Charmer,track,ODDINARY,7,2022-03-18
424,SZA,Too Late,track,SOS,23,2022-12-09
425,Tate McRae,what's your problem?,track,i used to think i could fly,13,2022-05-27
426,Drake,Treacherous Twins,track,Her Loss,16,2022-11-04
427,Joji,YUKON (INTERLUDE),track,SMITHEREENS,9,2022-11-04
428,ROSALÍA,DESPECHÁ,track,DESPECHÁ,1,2022-07-28
429,Jackson Dean,Fearless,track,Greenbroke,10,2022-03-11
430,TOMORROW X TOGETHER,Good Boy Gone Bad,track,minisode 2: Thursday's Child,5,2022-05-09
431,ATEEZ,Guerrilla,track,THE WORLD EP.1 : MOVEMENT,7,2022-07-29
432,Sabrina Carpenter,Bad for Business,track,emails i can't send,13,2022-07-15
433,Taylor Swift,Glitch,track,Midnights (3am Edition),20,2022-10-22
434,Loud Luxury,These Nights,track,These Nights,1,2022-07-08
435,Ha*Ash,Supongo Que Lo Sabes,track,Haashtag,11,2022-09-02
436,Burna Boy,Last Last,track,"Love, Damini",19,2022-07-07
437,Omar Apollo,Endlessly,track,Ivory (Marfil),21,2022-08-12
438,Kid Cudi,The Prayer,track,A Kid Named Cudi,16,2022-07-15
439,Beyoncé,PURE/HONEY,track,RENAISSANCE,16,2022-07-29
440,Stand Atlantic,"deathwish (feat. nothing,nowhere.)",track,f.e.a.r.,14,2022-05-06
441,PinkPantheress,Take Me Home,track,Take me home,3,2022-12-16
442,VOILÀ,Therapy,track,Happy Never After,21,2022-10-07
443,Shwayze,Too Late (with Jared Watson of Dirty Heads),track,Shway SZN,12,2022-09-02
444,Stellar,Masquerade,track,Masquerade,1,2022-01-28
445,The Weeknd,How Do I Make You Love Me?,track,Dawn FM,16,2022-01-06
446,Noah Kahan,Halloween,track,Stick Season,14,2022-10-14
447,NMIXX,DICE,track,ENTWURF,4,2022-09-19
448,Bailey Zimmerman,House On Fire,track,Leave The Light On,9,2022-10-14
449,DaBaby,Neighborhood Superstar,track,BETTER THAN YOU,12,2022-03-04
450,Taylor Swift,"You're On Your Own, Kid",track,Midnights (3am Edition),20,2022-10-22
451,The Lumineers,WHERE WE ARE,track,BRIGHTSIDE,9,2022-01-14
452,Ski Mask The Slump God,OOGA BOOGA!,track,OOGA BOOGA!,1,2022-10-25
453,MEDUZA,Bad Memories (feat. Elley Duhé & FAST BOY),track,Bad Memories (feat. Elley Duhé & FAST BOY),1,2022-07-22
454,Lady Gaga,Hold My Hand,track,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",1,2022-05-03
455,Big Thief,Change,track,Dragon New Warm Mountain I Believe In You,20,2022-02-11
456,d4vd,Dirty Secrets,track,Dirty Secrets,1,2022-04-27
457,ENHYPEN,Future Perfect (Pass the MIC),track,MANIFESTO : DAY 1,6,2022-07-04
458,Huey Mack,Carry Me Home (feat. Charles Wesley Godwin),track,The Cozy Bar,14,2022-10-21
459,Fireboy DML,Peru,track,Playboy,14,2022-08-04
460,Post Malone,Waiting For Never,track,Twelve Carat Toothache (Deluxe),16,2022-06-07
461,Drake,A Keeper,track,"Honestly, Nevermind",14,2022-06-17
462,Izzamuzzic,Shootout,track,Shootout,1,2022-06-30
463,Yuridia,¿Y Qué Tal Si Funciona?,track,Pa' Luego Es Tarde,14,2022-10-20
464,Connor Price,Chatter,track,Chatter,1,2022-12-02
465,Fujii Kaze,Matsuri,track,LOVE ALL SERVE ALL,11,2022-03-23
466,Tyga,Freaky Deaky,track,Freaky Deaky,1,2022-02-25
467,beabadoobee,10:36,track,Beatopia,14,2022-07-15
468,Josh Ross,First Taste of Gone,track,First Taste of Gone,1,2022-02-11
469,BLACKPINK,Shut Down,track,BORN PINK,8,2022-09-16
470,Rauw Alejandro,LOKERA,track,LOKERA,1,2022-07-25
471,Conan Gray,Yours,track,Superache,12,2022-06-24
472,Fireboy DML,Bandana,track,Playboy,14,2022-08-04
473,Oxlade,KU LO SA - A COLORS SHOW,track,KU LO SA - A COLORS SHOW,1,2022-06-10
474,Taylor Swift,Bejeweled,track,Midnights (3am Edition),20,2022-10-22
475,Río Roma,Tú Me Gustas,track,Tú Me Gustas,1,2022-03-04
476,Ashley Cooke,never til now,track,Already Drank That Beer,9,2022-04-01
477,Memphis May Fire,Make Believe,track,Make Believe,7,2022-02-18
478,Muscadine Bloodline,Dyin' For a Livin',track,Dispatch to 16th Ave.,9,2022-02-04
479,The Maine,Loved You A Little (with Taking Back Sunday and Charlotte Sands),track,Loved You A Little (with Taking Back Sunday and Charlotte Sands),1,2022-01-20
480,Tom Odell,Best Day Of My Life,track,Best Day of My Life,12,2022-10-28
481,Kidd G,People Talk,track,People Talk,1,2022-04-15
482,Cordae,Super,track,From a Birds Eye View,14,2022-01-14
483,Post Malone,Wasting Angels (with The Kid LAROI),track,Twelve Carat Toothache,14,2022-06-03
484,Stray Kids,"TASTE (Lee Know, Hyunjin, Felix)",track,MAXIDENT,8,2022-10-07
485,Beyoncé,MOVE (feat. Grace Jones & Tems),track,RENAISSANCE,16,2022-07-29
486,GRAHAM,Mad It's My Fault,track,Mad It's My Fault,1,2022-07-08
487,Chase Matthew,Can't Hide Love,track,Born for This,12,2022-02-11
488,Benson Boone,Work of Art,track,Walk Me Home...,8,2022-07-29
489,Dylan Schneider,Ain't Missin' You,track,Ain't Missin' You,1,2022-09-16
