,genero_musica,artista,listeners,playcount,biografia,artistas_similares
81,hiphop,dead prez,521498,6620491,"Dead Prez is an underground hip-hop duo which formed in 1996 in New York City, New York, United States, consisting of rapper stic.man and M-1. They have released three albums, ""Let's Get Free"" (2000),  ""Revolutionary But Gangsta"" (2004), and ""Information Age"" (2012). The duo has also released several mixtapes.

They are known for their sometimes confrontational style, combined with socialist lyrics focused on both militant social justice, and also positivity. <a href=""https://www.last.fm/music/dead+prez"">Read more on Last.fm</a>","['Immortal Technique', 'The Coup', 'Talib Kweli', 'Brother Ali']"
83,hiphop,Jaah SLT,75139,754719,"Jamir Quincy Rucks (July 21, 2000 - August 13, 2022), better known by his stage name Jaah SLT, was an American rapper and songwriter. He was signed to Alamo Records. Jaah's first few songs on SoundCloud were released under the name ""jaah"".

He blew up when his song Tuff went viral on TikTok. 

Jaah SLT released his debut project 9-25-20 on September 25th, 2020.

On August 13th, 2022, Jamir was tragically shot and killed. He was 22 years old. <a href=""https://www.last.fm/music/Jaah+SLT"">Read more on Last.fm</a>","['Dee Watkins', 'Lil Loaded', 'DaBaby', 'NLE Choppa']"
85,hiphop,Doughphresh Da Don,680,11441," <a href=""https://www.last.fm/music/Doughphresh+Da+Don"">Read more on Last.fm</a>","['OfficialShow', 'A-Money Nichols', 'BoSwift', 'John Lygnos']"
88,hiphop,IceColdBishop,28420,358584,"ICECOLDBISHOP is rapper born and raised in South Central, Los Angeles. With an eccentric delivery and wide array of flows, he kicked off his musical career with a string of unconventional anthems.

Despite having rapped for fun since the age of eight, it was not until adulthood that ICECOLDBISHOP put his verses on record: his gloomy debut single, ""Porch,"" arrived online in October 2017, delivering haunting street narratives over a murky piano melody. <a href=""https://www.last.fm/music/IceColdBishop"">Read more on Last.fm</a>","['Mick Jenkins', 'Rome Streetz & Big Ghost Ltd', 'Boldy James', 'IDK']"
89,hiphop,Luna Fortuna,6,10," <a href=""https://www.last.fm/music/Luna+Fortuna"">Read more on Last.fm</a>",[]
90,hiphop,HotInHipHop,61,230," <a href=""https://www.last.fm/music/HotInHipHop"">Read more on Last.fm</a>","['CÜSI', 'Sick Biz', 'frawst', 'Spend The Night']"
92,hiphop,DJ Muggs,150333,2148266,"Muggs (born: Lawrence Muggerud), also called DJ Muggs, started out in the short-lived rap group The 7A3 before helping found what would become one of the most respected and popular rap groups of all time: Cypress Hill. Cypress Hill have now released seven studio albums and a lot of singles, a few EP's, and even a live album. But Muggs' career is not limited only to his rap group, he is one of the main people behind the Soul Assassins albums that feature some of the best rappers in the world <a href=""https://www.last.fm/music/DJ+Muggs"">Read more on Last.fm</a>","['Meyhem Lauren', 'CRIMEAPPLE', 'Conway the Machine', 'Roc Marciano']"
93,hiphop,IDK,555068,17710226,"There are at least two artists sharing the name IDK:

1) Jason Mills (born May 24, 1992), better known by his stage name IDK (Ignorantly Delivering Knowledge), is an American rapper from Prince George's County, Maryland.

In August 2015, IDK released his mixtape titled SubTrap. The name stands for Suburban Trap or ""Trap music with substance.""The album features the singles ""The Plug,"" ""God Said Trap (King Trappy III)"" and ""Cookie Addiction"" featuring BJ The Chicago Kid. <a href=""https://www.last.fm/music/IDK"">Read more on Last.fm</a>","['EARTHGANG', 'Kenny Mason', 'Aminé', 'Smino']"
95,hiphop,Glorilla,507541,8576169,"Gloria Hallelujah Woods (born July 28, 1999), known professionally as GloRilla, is an American rapper and songwriter from Memphis, Tennessee. She first became known for her 2022 single F.N.F. (Let's Go)
, which peaked within the top 50 of the Billboard Hot 100 and led her to sign with fellow Memphis rapper, Yo Gotti's record label, Collective Music Group, an imprint of Interscope Records in July of that year. Released that same month, her follow-up single <a href=""https://www.last.fm/music/Glorilla"">Read more on Last.fm</a>",[]
96,hiphop,Demrick,59705,552512,"Young De aka Demrick is a Recording Artist / Songwriter currently residing in Los Angeles, California. He has a unique style of music, both raw and soulful. “The songs I write are about my life, friends, family and people I’ve met along the way, most of my inspiration comes from my everyday experiences.” He is best known for his collaborations with high profile artists such as Xzibit, Kurupt, Snoop Dogg, Too $hort, B-Real and Cypress Hill. He is also recognized as a protege of B-Real & Xzibit. <a href=""https://www.last.fm/music/Demrick"">Read more on Last.fm</a>","['DillanPonders', 'King Magnetic', 'B-Real', 'Truffel the Phunky Phaqir']"
